C.Length,Ion,ion_air,ion_sensitivity,,Vth,vth_air,vth_sensitivity
243,9.84E-07,5.19E-14,1.90E+07,,0.174295543,0.42959254,0.594277072
243.0021432,9.84E-07,5.19E-14,1.90E+07,,0.174296049,0.42959254,0.594275894
243.0042863,9.84E-07,5.19E-14,1.90E+07,,0.174296555,0.42959254,0.594274716
243.0064295,9.84E-07,5.19E-14,1.90E+07,,0.174297061,0.42959254,0.594273539
243.0085727,9.84E-07,5.19E-14,1.90E+07,,0.174297567,0.42959254,0.594272361
243.0107158,9.84E-07,5.19E-14,1.90E+07,,0.174298073,0.42959254,0.594271183
243.012859,9.84E-07,5.19E-14,1.90E+07,,0.174298579,0.42959254,0.594270005
243.0150021,9.84E-07,5.19E-14,1.90E+07,,0.174299085,0.42959254,0.594268827
243.0171453,9.84E-07,5.19E-14,1.90E+07,,0.174299591,0.42959254,0.594267649
243.0192885,9.84E-07,5.19E-14,1.90E+07,,0.174300097,0.42959254,0.594266471
243.0214316,9.84E-07,5.19E-14,1.90E+07,,0.174300603,0.42959254,0.594265293
243.0235748,9.84E-07,5.19E-14,1.90E+07,,0.174301109,0.42959254,0.594264116
243.025718,9.84E-07,5.19E-14,1.90E+07,,0.174301615,0.42959254,0.594262938
243.0278611,9.84E-07,5.19E-14,1.90E+07,,0.174302121,0.42959254,0.59426176
243.0300043,9.84E-07,5.19E-14,1.90E+07,,0.174302627,0.42959254,0.594260582
243.0321474,9.84E-07,5.19E-14,1.90E+07,,0.174303133,0.42959254,0.594259404
243.0342906,9.84E-07,5.19E-14,1.90E+07,,0.17430364,0.42959254,0.594258224
243.0364338,9.84E-07,5.19E-14,1.90E+07,,0.174304146,0.42959254,0.594257046
243.0385769,9.84E-07,5.19E-14,1.90E+07,,0.174304652,0.42959254,0.594255868
243.0407201,9.84E-07,5.19E-14,1.90E+07,,0.174305158,0.42959254,0.59425469
243.0428633,9.84E-07,5.19E-14,1.90E+07,,0.174305664,0.42959254,0.594253513
243.0450064,9.84E-07,5.19E-14,1.90E+07,,0.17430617,0.42959254,0.594252335
243.0471496,9.84E-07,5.19E-14,1.90E+07,,0.174306676,0.42959254,0.594251157
243.0492928,9.84E-07,5.19E-14,1.90E+07,,0.174307182,0.42959254,0.594249979
243.0514359,9.84E-07,5.19E-14,1.90E+07,,0.174307688,0.42959254,0.594248801
243.0535791,9.84E-07,5.19E-14,1.90E+07,,0.174308194,0.42959254,0.594247623
243.0557222,9.84E-07,5.19E-14,1.90E+07,,0.1743087,0.42959254,0.594246445
243.0578654,9.84E-07,5.19E-14,1.90E+07,,0.174309206,0.42959254,0.594245268
243.0600086,9.84E-07,5.19E-14,1.90E+07,,0.174309712,0.42959254,0.59424409
243.0621517,9.84E-07,5.19E-14,1.90E+07,,0.174310218,0.42959254,0.594242912
243.0642949,9.84E-07,5.19E-14,1.90E+07,,0.174310724,0.42959254,0.594241734
